speed index,angular speed index,graph index,entry index
24,15,12,8
24,16,13,10
24,17,12,10
24,18,12,12
24,19,12,14
24,20,12,16
24,21,12,20
24,22,12,27
25,0,13,0
25,1,13,0
25,2,13,2
25,3,13,2
25,4,13,2
25,5,13,3
25,6,13,3
25,7,13,4
25,8,13,4
25,9,13,5
25,10,13,5
25,11,13,6
25,12,13,6
25,13,13,7
25,14,13,8
25,15,13,9
25,16,13,10
25,17,13,11
25,18,13,13
25,19,13,16
25,20,13,19
25,21,13,25
25,22,18,209
26,0,14,0
26,1,14,0
26,2,14,2
26,3,14,2
26,4,13,2
26,5,14,3
26,6,13,3
26,7,14,4
26,8,13,4
26,9,14,5
26,10,13,5
26,11,14,6
26,12,14,7
26,13,13,7
26,14,13,8
26,15,14,10
26,16,13,10
26,17,14,13
26,18,14,16
26,19,14,19
26,20,14,26
26,21,20,238
26,22,18,209
27,0,14,0
27,1,14,0
27,2,14,2
27,3,14,2
27,4,14,2
27,5,14,3
27,6,14,3
27,7,14,4
27,8,14,4
27,9,14,5
27,10,14,5
27,11,14,6
27,12,14,7
27,13,14,8
27,14,14,9
27,15,14,10
27,16,14,11
27,17,14,13
27,18,14,16
27,19,14,19
27,20,14,25
27,21,20,219
27,22,18,209
28,0,15,0
28,1,15,0
28,2,15,2
28,3,15,2
28,4,15,2
28,5,15,3
28,6,15,3
28,7,15,4
28,8,15,4
28,9,15,5
28,10,15,6
28,11,14,6
28,12,15,7
28,13,15,8
28,14,15,9
28,15,15,10
28,16,15,12
28,17,15,14
28,18,15,17
28,19,15,22
28,20,15,32
28,21,18,140
28,22,18,140
29,0,15,0
29,1,15,0
29,2,15,2
29,3,15,2
29,4,15,2
29,5,15,3
29,6,15,3
29,7,15,4
29,8,15,4
29,9,15,5
29,10,15,6
29,11,15,6
29,12,15,7
29,13,15,8
29,14,15,9
29,15,15,10
29,16,15,12
29,17,15,14
29,18,15,17
29,19,15,21
29,20,16,52
29,21,21,210
29,22,21,210
30,0,16,0
30,1,16,0
30,2,16,2
30,3,16,2
30,4,16,2
30,5,16,3
30,6,15,3
30,7,16,4
30,8,15,4
30,9,16,5
30,10,16,6
30,11,15,6
30,12,15,7
30,13,16,8
30,14,15,9
30,15,16,11
30,16,16,13
30,17,16,15
30,18,16,18
30,19,16,25
30,20,17,70
30,21,22,219
30,22,22,219
31,0,16,0
31,1,16,0
31,2,16,2
31,3,16,2
31,4,16,2
31,5,16,3
31,6,16,3
31,7,16,4
31,8,16,4
31,9,16,5
31,10,16,6
31,11,16,6
31,12,16,7
31,13,16,8
31,14,16,9
31,15,16,11
31,16,16,13
31,17,16,15
31,18,16,18
31,19,16,24
31,20,19,116
31,21,19,116
31,22,19,116
32,0,17,0
32,1,17,0
32,2,17,2
32,3,17,2
32,4,17,3
32,5,17,3
32,6,17,3
32,7,17,4
32,8,17,4
32,9,17,5
32,10,17,6
32,11,17,7
32,12,16,7
32,13,16,8
32,14,17,10
32,15,17,11
32,16,17,13
32,17,17,16
32,18,17,20
32,19,17,29
32,20,22,183
32,21,22,183
32,22,22,183
33,0,17,0
33,1,17,0
33,2,17,2
33,3,17,2
33,4,17,3
33,5,17,3
33,6,17,3
33,7,17,4
33,8,17,4
33,9,17,5
33,10,17,6
33,11,17,7
33,12,17,7
33,13,17,8
33,14,17,10
33,15,17,11
33,16,17,13
33,17,17,16
33,18,17,20
33,19,17,28
33,20,21,138
33,21,21,138
33,22,21,138
34,0,18,0
34,1,18,0
34,2,18,2
34,3,18,2
34,4,18,2
34,5,18,3
34,6,18,3
34,7,18,4
34,8,18,4
34,9,18,5
34,10,18,6
34,11,18,6
34,12,18,7
34,13,18,8
34,14,18,10
34,15,18,11
34,16,18,13
34,17,18,15
34,18,18,19
34,19,18,26
34,20,20,93
34,21,20,93
34,22,20,93
35,0,18,0
35,1,18,0
35,2,18,2
35,3,18,2
35,4,18,2
35,5,18,3
35,6,18,3
35,7,18,4
35,8,18,4
35,9,18,5
35,10,18,6
35,11,18,6
35,12,18,7
35,13,18,8
35,14,18,10
35,15,18,11
35,16,18,13
35,17,18,15
35,18,18,19
35,19,18,26
35,20,20,77
35,21,21,105
35,22,21,105
36,0,19,0
36,1,19,0
36,2,19,2
36,3,19,2
36,4,19,2
36,5,19,3
36,6,19,3
36,7,19,4
36,8,19,4
36,9,19,5
36,10,19,6
36,11,19,6
36,12,19,7
36,13,19,8
36,14,19,10
36,15,19,11
36,16,19,13
36,17,19,15
36,18,19,19
36,19,19,25
36,20,20,61
36,21,22,117
36,22,22,117
37,0,19,0
37,1,19,0
37,2,19,2
37,3,19,2
37,4,19,2
37,5,19,3
37,6,19,3
37,7,19,4
37,8,19,4
37,9,19,5
37,10,19,6
37,11,19,6
37,12,19,7
37,13,19,8
37,14,19,10
37,15,19,11
37,16,19,13
37,17,19,15
37,18,19,19
37,19,19,25
37,20,20,46
37,21,22,102
37,22,22,102
38,0,20,0
38,1,20,0
38,2,20,2
38,3,20,2
38,4,20,2
38,5,20,3
38,6,20,3
38,7,20,4
38,8,20,4
38,9,20,5
38,10,20,6
38,11,20,7
38,12,20,7
38,13,20,8
38,14,20,10
38,15,20,11
38,16,20,13
38,17,20,15
38,18,20,19
38,19,20,25
38,20,21,60
38,21,22,87
38,22,22,87
39,0,20,0
39,1,20,0
39,2,20,2
39,3,20,2
39,4,20,2
39,5,20,3
39,6,20,3
39,7,20,4
39,8,20,4
39,9,20,5
39,10,20,6
39,11,20,7
39,12,20,7
39,13,20,8
39,14,20,10
39,15,20,11
39,16,20,13
39,17,20,15
39,18,20,19
39,19,20,25
39,20,21,45
39,21,22,73
39,22,22,73
40,0,21,0
40,1,21,0
40,2,21,2
40,3,21,2
40,4,21,3
40,5,21,3
40,6,21,3
40,7,21,4
40,8,21,5
40,9,21,5
40,10,21,6
40,11,21,7
40,12,21,7
40,13,21,9
40,14,21,10
40,15,21,11
40,16,21,13
40,17,21,16
40,18,21,20
40,19,21,26
40,20,22,59
40,21,22,59
40,22,22,59
41,0,21,0
41,1,21,0
41,2,21,2
41,3,21,2
41,4,21,3
41,5,21,3
41,6,21,3
41,7,21,4
41,8,21,5
41,9,21,5
41,10,21,6
41,11,21,7
41,12,21,7
41,13,21,9
41,14,21,10
41,15,21,11
41,16,21,13
41,17,21,16
41,18,21,19
41,19,21,26
41,20,22,45
41,21,22,45
41,22,22,45
42,0,22,0
42,1,22,0
42,2,22,2
42,3,22,2
42,4,22,3
42,5,22,3
42,6,22,3
42,7,22,4
42,8,22,5
42,9,22,5
42,10,22,6
42,11,22,7
42,12,22,8
42,13,22,9
42,14,22,10
42,15,22,12
42,16,22,14
42,17,22,17
42,18,22,21
42,19,22,28
42,20,22,40
42,21,22,40
42,22,22,40
43,0,22,0
43,1,22,0
43,2,22,2
43,3,22,2
43,4,22,3
43,5,22,3
43,6,22,3
43,7,22,4
43,8,22,5
43,9,22,5
43,10,22,6
